ITEM,BASE,LIN,MAT,FORMA,CORRE,CODIGO,DESCRIPCION DE PRODUCTO,DISP,UND,PRECIO DETAL USD,PRECIO MAYOR USD,SALIDA,ENTRADA,STOCK,NUEVO PRECIO,COSTO,VALOR INVENTARIO,Unnamed: 18,Unnamed: 21
29.14,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,13,TUB0803013,"TUBO PVC A/N 4"" X 2,2 mm X 3,00 mts MACOPLAS Amarrillo Bajo Norma",11,Pza,13.5,11.9,11,210,210,0,10.8,987.55200000000013,,
29.15,TUBERIA ELECTRICA,TUB,8,3,16,TUB0803016,"TUBO PVC A/N 4"" X 3,2mm X 3,00 mts REFORZADO (NEGRO)",6,Pza,16.9,,52,106,60,0,13.52,0,,
29.16,TUBERIA ELECTRICA,TUB,8,3,14,TUB0803014,"TUBO PVC A/N 6"" X 3,00 mts OCC PLAST    ",400,Pza,35,32,15,0,385,0,28,0,,
29.17,TUBERIA ELECTRICA,TUB,15,3,1,TUB1503001,"TUBO PVC ALCANT. CORRUGADO 4"" X 6,00 mts",20,Pza,52,39,0,0,20,0,41.6,3024,,
30,,,,,,VIGAS HE,,,,*,,,,LINEA,0,0,272,,
30.1,,,1,56,1,VIG0156001,"VIGA HEA 200 X 200 X 12,00 mts ",,Und,787.4,739,0,20,20,849.31506849315076,629.92000000000007,0,,
30.2,VIGAS HEB,VIG,1,5,1,VIG0105001,"VIGA HEB 260 X 260 X 13,88 mts",22,Und,1490,,3,0,19,0,1192,327.488,,
30.3,VIGAS HEB,VIG,1,5,2,VIG0105002,"VIGA HEB 400 X 6,50 mts ",5,Und,1250,,0,0,5,0,1000,11.088000000000001,,
31,,,,,,VIGAS IPE,,,,*,,,,LINEA,0,0,0,,
31.1,VIGA IPE,VIG,1,6,4,VIG0106004,VIGA IPE 80 X 12 mts ,50,Und,105.78,104,14,0,36,0,84.624000000000009,251.71200000000002,,
31.2,,VIG,,,,VIG0106005,VIGA IPE 100 X 12 mts ,,Und,134.7,129,10,20,10,141.55844155844156,107.75999999999999,308.992,,
31.3,VIGA IPE,VIG,1,6,1,VIG0106001,"VIGA IPE 160 X 90 X 5,75 mts",82,Und,90,,12,0,70,0,72,384,,
31.4,VIGA IPE,VIG,1,6,2,VIG0106002,"VIGA IPE 250 X 130 X 5,75 mts",81,Und,190,,2,0,79,0,152,1283.136,,
31.5,VIGA IPE,VIG,1,6,3,VIG0106003,VIGA IPE 400 X 180 X 12 mts,0,Und,900,,0,0,0,0,720,749.456,,
31.6,,,,,,VIG0106006,VIGA IPE 100 X 6 mts ,,Und,67.35,,1,2,1,0,53.879999999999995,421.12,,
32,,,,,,VIGAS IPN,,,,*,,,,LINEA,0,0,0,,
32.1,VIGA IPN,VIG,1,7,1,VIG0107001,"VIGA IPN 100 X 2,04 mts",3,Und,28,,0,0,3,0,22.400000000000002,0,,
32.2,VIGA IPN,VIG,1,7,2,VIG0107002,"VIGA IPN 120 X 12,00 mts",46,Und,190.97,,6,15,55,0,152.776,0,,
32.3,VIGA IPN,VIG,1,7,3,VIG0107003,"VIGA IPN 120 X 4,87 mts",0,Und,40,,0,0,0,0,32,0,,
32.4,VIGA IPN,VIG,1,7,4,VIG0107004,"VIGA IPN 140 X 4,00 mts",4,Und,30,,0,0,4,0,24,1664,,
32.5,VIGA IPN,VIG,1,7,5,VIG0107005,"VIGA IPN 140 X 5,00 mts",4,Und,32,,0,0,4,0,25.6,0,,
32.6,VIGA IPN,VIG,1,7,6,VIG0107006,"VIGA IPN 240 X 12,00 mts ",47,Und,580,,3,0,44,0,464,1049.736,,
33,,,,,,VIGAS UPL,,,,*,,,,LINEA,0,0,0,,
33.1,,,,,,VIG0108002,VIGA UPL 80 X 12 mts,,Und,89,,0,160,160,0,71.2,2110.88,,
33.2,VIGA UPL,VIG,1,8,1,VIG0108001,VIGA UPL 100 X 12 mts,62,Und,145.77,,33,0,29,0,116.61600000000001,2192.9600000000005,,
33.3,,,,,,VIG0108003,VIGA UPL 120 X 12 mts ,,Und,,,0,20,20,0,0,0,,
34,,,,,,VIGAS VP,,,,*,,,,LINEA,0,0,0,,
34.1,VIGAS VP,VIG,1,9,1,VIG0109001,"VIGA VP 350 X 4,10 mts",5,Und,140,,0,0,5,0,112,1882.6632000000002,,
34.2,VIGAS VP,VIG,1,9,2,VIG0109002,"VIGA VP 350 X 7,13,00 mts",9,Und,290,,0,0,9,0,232,0,,
34.3,VIGAS VP,VIG,1,9,3,VIG0109003,"VIGA VP 400 X 4,90 mts ",12,Und,240,,0,0,12,0,192,171.52,,
34.4,VIGAS VP,VIG,1,9,4,VIG0109004,"VIGA VP 400 X 6,90 mts ",2,Und,360,,2,0,0,0,288,17784.95232,,
35,,,,,,CONEXIONES ADAPTADO,,,,*,,,,LINEA,25.180722891566266,20.128,483.072,,
35,CONEXIÓN EMT,CON,4,21,1,CON0920001,"ADAPTADOR TERM CONDUIT 1"" TUBRICA",3800,Und,0.35,,4,3,3799,0,13.416,885.456,,
36,,,,,,CONEXIONES ANILLOS,,,,*,,,,LINEA,0,11.920000000000002,143.04000000000002,,
36.1,CONEXION GALVANIZADA,CON,4,22,1,CON0621002,ANILLO A.F 1/2 ,8830,Und,0.3,,23,43,8850,0,17.28,345.6,,
36.2,CONEXION GALVANIZADA,CON,4,22,2,CON0621003,ANILLO A.F 3/4,3961,Und,0.32,,34,71,3998,0,18.400000000000002,920.00000000000011,,
36.3,CONEXION GALVANIZADA,CON,4,24,1,CON0621001,"ANILLO A.F 1""",987,Und,0.38,,183,298,1102,26.467532467532465,20.056,2306.44,,
36.4,CONEXION GALVANIZADA,CON,4,24,2,CON0821001,"ANILLO A.N 2"" TUBRICA     *",799,Und,0.98,,0,0,799,0,0,0,,
36.5,CONEXION GALVANIZADA,CON,4,25,1,CON0821002,"ANILLO A.N 3"" ",200,Und,1.45,,16.66,0,183.34,0,1,21113.664000000004,,
36.6,CONEXION GALVANIZADA,CON,4,25,2,CON0421001,"ANILLO EMT 1""",50,Und,3.5,,0,0,50,0,6.4,5350.4000000000005,,
37,,,,,,CONEXIONES CODOS,,,,*,,,,LINEA,0,6.96,229.68,,
37.1,CONEXION GALVANIZADA,CON,4,25,3,CON0622001,CODO A.F 1/2 X 45 NACIONAL ,246,Und,0.5,,43,0,203,0,13.600000000000001,36284.8,,
37.2,CONEXION GALVANIZADA,CON,4,27,1,CON0622003,CODO A.F 1 1/2 X 90 ALTA PRESION TUBRICA ,685,Und,3.9,,39,0,646,0,20.8,2454.4,,
37.3,CONEXION GALVANIZADA,CON,4,27,2,CON0822001,"CODO A.N 2"" X 45 TUBRICA",1625,Und,1.35,,0,0,1625,0,47.2,141.60000000000002,,
37.4,CONEXIÓN EMT,CON,4,29,1,CON0822002,"CODO A.N 2"" X 90 BETAPLAST ",85,Und,1.4,,0,0,85,0,52,156,,
37.5,CONEXIONES  PVC A.F TUBRICA,CON,6,21,1,CON0822003,"CODO A.N 2"" X 90 IMPORTADO ",70,Und,1.9,1.7,0,0,70,0,63.2,379.20000000000005,,
37.6,CONEXIONES  PVC A.F TUBRICA,CON,6,21,2,CON0822004,"CODO A.N 2"" X 90 TUBRICA",75,Und,1.9,1.7,0,0,75,0,63.2,505.6,,
37.7,CONEXIONES  PVC A.F TUBRICA,CON,6,21,3,CON0822005,"CODO A.N 3"" X 45 TUBRICA",177,Und,2.1,1.85,0,0,177,0,0,0,,
37.8,CONEXIONES  PVC A.F TUBRICA,CON,6,22,1,CON0822006,"CODO A.N 3"" X 90 NACIONAL",345,Und,2.1,1.85,0,0,345,0,840,0,,
37.9,CONEXIONES  PVC A.F TUBRICA,CON,6,22,2,CON0822007,"CODO A.N 4"" X 45 TUBRICA",6636,Und,4.5,3.1,0,0,6636,0,0,0,,
37.10,CONEXIONES  PVC A.F TUBRICA,CON,6,22,3,CON0822008,"CODO A.N 4"" X 90 TUBRICA",2717,Und,4.5,3.4,5,0,2712,0,18.064,993.52,,
37.11,CONEXIONES  PVC A.F TUBRICA,CON,6,24,1,CON0822009,"CODO A.N 6"" X 45 TUBRICA",0,Und,,,0,0,0,0,20.8,166.4,,
37.12,CONEXIONES  PVC A.F TUBRICA,CON,6,24,2,CON0822010,"CODO A.N 6"" X 90 NACIONAL ",340,Und,13,9,4,0,336,0,10.4,0,,
37.13,CONEXIONES  PVC A.F TUBRICA,CON,6,28,1,CON0622002,CODO CPVC 1/2 X 90 NACIONAL ,300,Und,0.8,0.6,2,0,298,0,30.24,1058.3999999999999,,
37.14,CONEXIONES  PVC A.F TUBRICA,CON,6,28,2,CON0422002,CODO HG 1/2 X 90 ,0,Und,0.9,,1,1,0,0,18.400000000000002,0,,
37.15,CONEXIONES  PVC A.F TUBRICA,CON,6,29,1,CON0422001,"CODO HG 1"" X 45 ",53,Und,1.5,1.3,0,0,53,0,0,0,,
38,,,,,,CONEXIONES CURVAS,,,,*,,,,LINEA,0,48,144,,
38.1,CONEXIONES  PVC TUBRICA,CON,6,29,2,CON0923003,"CURVA CONDUIT 1/2 X 90""",6250,Und,0.7,,0,0,6250,0,0,0,,
38.2,CONEXIONES  PVC TUBRICA,CON,6,29,3,CON0923004,"CURVA CONDUIT 1/2"" X 90 REFORZADO ",72,Und,1.45,,129,0,-57,0,2.32,8985.3599999999988,,
38.3,CONEXIONES  PVC A.F TUBRICA,CON,6,29,4,CON0923007,"CURVA CONDUIT 3/4"" X 90 REFORZADO",15790,Und,0.99,0.85,324,0,15466,0,2.8000000000000003,3480.4000000000005,,
38.4,CONEXIONES  PVC TUBRICA,CON,8,21,1,CON0923002,"CURVA CONDUIT 1"" X 90 REFORZADO ",741,Und,1.2,0.95,5,0,736,0,5.2,1014,,
38.5,CONEXIONES  PVC TUBRICA,CON,8,21,2,CON0923001,"CURVA CONDUIT 1 1/2"" X 90 REFORZADO",1482,Und,4.5,3.5,0,0,1482,0,2.5600000000000005,0,,
38.6,CONEXIONES  PVC TUBRICA,CON,8,22,1,CON0923005,"CURVA CONDUIT 2"" X 90 NACIONAL ",400,Und,5.5,3.9,0,0,400,0,2.5600000000000005,0,,
38.7,CONEXIONES  PVC TUBRICA,CON,8,22,2,CON0923006,"CURVA CONDUIT 2"" X 90 REFORZADO ",813,Und,4.2,,0,0,813,0,2.9600000000000004,59.20000000000001,,
39,,,,,,CONEXIONES JUNTAS,,,,*,,,,LINEA,0,6.8000000000000007,2053.6000000000004,,
39.1,CONEXIONES  PVC TUBRICA,CON,8,22,3,CON0624002,JUNTA DRESSER 1/2,995,Und,0.65,,20,0,975,0,27.200000000000003,0,,
39.2,CONEXIONES  PVC TUBRICA,CON,8,22,4,CON0624001,JUNTA DRESSER 3/4,2569,Und,0.85,,150,0,2419,0,29.6,9412.8000000000011,,
39.3,CONEXIONES  PVC TUBRICA,CON,8,22,5,CON0424001,"JUNTA DRESSER HG 1/2""",315,Und,1.6,1.3,0,0,315,0,0,0,,
39.4,CONEXIONES  PVC TUBRICA,CON,8,22,6,CON0424002,"JUNTA DRESSER HG 3/4""",311,Und,1.8,1.5,13,0,298,0,3.16,2913.52,,
40,,,,,,CONEXIONES NIPLES,,,,*,,,,LINEA,0,6.32,5037.04,,
40.1,CONEXIONES  PVC TUBRICA,CON,8,22,7,CON0425001,NIPLE GALV 1/2 X 4 cm,340,Und,0.65,,2,0,338,0,7.120000000000001,3709.5200000000004,,
40.2,CONEXIONES  PVC TUBRICA,CON,8,22,8,CON0425002,NIPLE GALV 1/2 X 5 cm,29,Und,0.75,,34,0,-5,0,7.6000000000000005,1398.4,,
40.3,CONEXIONES  PVC TUBRICA,CON,8,22,9,CON0425003,NIPLE GALV 1/2 X 10 cm,30,Und,0.85,,3,0,27,0,5.84,274.48,,
41,,,,,,CONEXIONES REDUCCIONES,,,,*,,,,LINEA,0,13.600000000000001,4025.6000000000004,,
41.1,CONEXIONES  PVC TUBRICA,CON,8,22,10,CON0826001,REDUCCION A.N 3 X 2 ,100,Und,2.8,2.2,0,0,100,0,21.6,3326.4,,
41.2,CONEXIONES  PVC TUBRICA,CON,8,26,1,CON0826002,REDUCCION A.N 4 X 2 TUBRICA,647,Und,3,2.6,15,0,632,0,18.400000000000002,1343.2,,
42,,,,,,CONEXIONES SIFONES,,,,*,,,,LINEA,0,18.400000000000002,809.60000000000014,,
42.1,CONEXIONES  PVC TUBRICA,CON,8,26,2,CON0831001,"SIFON A.N 2"" TUBRICA",1974,Und,1.3,1.09,0,0,1974,0,21.6,4320,,
42.2,CONEXIONES  PVC TUBRICA,CON,8,28,1,CON0831002,"SIFON A.N 4"" TUBRICA",500,Und,2.9,2.5,0,0,500,0,29.6,1776,,
43,,,,,,CONEXIONES TAPONES,,,,*,,,,LINEA,0,28,2604,,
43.1,CONEXIONES  PVC TUBRICA,CON,8,28,2,CON0427001,TAPON GALV 1/2 MACHO,76,Und,0.72,,0,0,76,0,28,280,,
43.2,CONEXIONES  PVC TUBRICA,CON,8,28,3,CON0427002,TAPON GALV 1/2 ROSC,739,Und,0.73,,0,0,739,0,0,0,,
44,,,,,,CONEXIONES TEE,,,,*,,,,LINEA,0,6.4,5600,,
44.1,CONEXIONES  PVC TUBRICA,CON,8,28,4,CON0828001,"TEE A.N 2"" TUBRICA",2264,Und,1.8,1.25,2,0,2262,0,6,396,,
44.2,CONEXIONES  PVC TUBRICA,CON,8,28,5,CON0828002,"TEE A.N 4"" TUBRICA",851,Und,4.5,3.9,18,0,833,0,6.4,793.6,,
44.3,CONEXIONES  PVC TUBRICA,CON,8,30,1,CON0628001,TEE A.F 1/2 LISA,360,Und,0.45,0.35,0,0,360,0,6.4,1497.6000000000001,,
44.4,CONEXIONES  PVC TUBRICA,CON,8,30,2,CON0628002,TEE A.F 1/2 ROSC,33,Und,0.35,,26,0,7,0,4.8000000000000007,1075.2000000000003,,
44.5,CONEXIONES  PVC TUBRICA,CON,8,30,3,CON0828004,TEE RED A.N 4 X 2 TUBRICA,44,Und,4.5,3.5,10,0,34,0,4.16,0,,
44.6,CONEXIONES  PVC TUBRICA,CON,8,30,4,CON0828003,TEE RED A.N 4 X 3 TUBRICA,275,Und,4.5,3.2,13,0,262,0,5.2,2537.6,,
44.7,CONEXIONES  PVC TUBRICA,CON,8,30,5,CON0828005,TEE RED A.N 6 X 4 TUBRICA,76,Und,13,8.9,5,0,71,0,10.4,52,,
45,,,,,,CONEXIONES UNION,,,,*,,,,LINEA,0,6.4,64,,
45.1,CONEXIONES  PVC TUBRICA,CON,8,31,1,CON0629001,UNION CPVC A.C 1/2,4303,Und,0.3,0.18,14,0,4289,0,6,2316,,
45.2,CONEXIONES  PVC TUBRICA,CON,8,31,2,CON0929008,"UNION CONDUIT 1""",2592,Und,0.6,0.12,3,0,2589,0,6.4,1862.4,,
45.3,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,20,1,CON0429001,"UNION EMT 1""",624,Und,0.8,0.22,0,0,624,0,8.4,0,,
45.4,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,23,1,CON0629003,"UNION LISA A.F  1/2"" TUBRICA",3770,Und,1.3,1.04,99,4,3675,0,7.9200000000000008,0,,
45.5,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,23,2,CON0629004,"UNION LISA A.F  1/2"" UNIVERSAL",2395,Und,0.6,0.45,11,210,2594,0,6.8000000000000007,1428.0000000000002,,
45.6,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,23,3,CON0629002,"UNION LISA A.F  3/4"" TUBRICA",500,Und,0.6,0.45,52,106,554,0,15.600000000000001,936.00000000000011,,
46,,,,,,CONEXIONES YEE,,,,*,,,,LINEA,0,28,10780,,
46.1,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,23,4,CON0830002,"YEE A.N 4"" TUBRICA",975,Und,5.5,4.5,0,0,975,0,41.6,832,,
46.2,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,23,5,CON0830003,"YEE A.N 6"" NACIONAL ",80,Und,12,9.5,0,0,80,0,0,0,,
46.3,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,23,6,CON0830005,"YEE RED A.N 4"" X 2 TUBRICA",6835,Und,4.5,3.5,0,20,6855,849.31506849315076,629.92000000000007,12598.400000000001,,
46.4,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,23,7,CON0830004,"YEE RED A.N 4"" X 3 TUBRICA",132,Und,4.5,4,3,0,129,0,1192,22648,,
46.5,CURVA CONDUIT  NACIONAL TUBRICA,CON,9,29,8,CON0830001,"YEE RED A.N 6"" X 4 TUBRICA",260,Und,9.5,,0,0,260,0,1000,5000,,
47,,,,,,ELECTRICIDAD,,,,*,,,,LINEA,0,0,0,,
47.1,CAJA DE MEDIDOR ELECTRICA ,ELE,4,33,1,ELE1603001,ARVIDAL 1/0,5482,Und,7.5,,3139.200000001,0,2342.799999999,0,84.624000000000009,3046.4640000000004,,
47.2,CAJA DE PASO ELECTRICA ,ELE,4,33,2,ELE1603002,ARVIDAL 2/0,6290,Und,7.5,,2208,20,4102,141.55844155844156,107.75999999999999,1077.6,,
47.3,CAJETIN RECTANGULAR GALVANIZADO ,ELE,4,33,3,ELE1848001,BREAKER QO EMPOTRABLE 1 X 20 AMP,1223,Und,6.9,,12,0,1211,0,72,5040,,
47.4,CAJETIN RECTANGULAR GALVANIZADO ,ELE,4,33,4,ELE1847001,BREAKER QO SUPERFICIAL 1 X 20 AMP,29,Und,7.6,,2,0,27,0,152,12008,,
47.5,CAJETIN RECTANGULAR GALVANIZADO ,ELE,4,33,5,ELE1848002,BREAKER THQC EMPOTRABLE 2 X 60 AMP,641,Und,9.9,,0,0,641,0,720,0,,
47.6,ARVIDAL ,ELE,16,3,1,ELE0433001,CAJA DE MEDIDOR 40 X 30 X 20 ,1273,Und,17,,1,2,1274,0,53.879999999999995,53.879999999999995,,
47.7,ARVIDAL ,ELE,16,3,2,ELE0433002,CAJA DE PASO ELECTRICA 6 X 6 X 6  GALV ,200,Und,14,,0,0,200,0,0,0,,
47.8,CABLE THW ,ELE,17,32,1,ELE0933001,CAJA DE PASO ELECTRICA 8 X 8 X 8 PVC ,200,Und,11,,0,0,200,0,22.400000000000002,67.2,,
47.9,CABLE THW ,ELE,17,32,2,ELE0433003,CAJETIN 4 X 2 RECTANGULAR EMT,15280,Und,0.9,,6,15,15289,0,135.20000000000002,7436.0000000000009,,
47.10,CABLE THW ,ELE,17,32,3,ELE0433004,CAJETIN 4 X 4 CUADRADO EMT,236,Und,1.3,,0,0,236,0,32,0,,
47.11,CABLE THW ,ELE,17,32,4,ELE0933002,CAJETIN 4 X 4 CUADRADO PVC,2000,Und,0.45,,0,0,2000,0,24,96,,
47.12,CABLE THW ,ELE,17,32,5,ELE0433005,CAJETIN 4 X 4 OCTAGONAL EMT,2000,Und,1.3,,0,0,2000,0,25.6,102.4,,
47.13,CABLE THW ,ELE,17,38,1,ELE0933003,CAJETIN 4 X 4 OCTAGONAL PVC,2000,Und,0.45,,3,0,1997,0,464,20416,,
47.14,BREAKER ,ELE,18,48,1,ELE0434006,TABLERO 20 CIRCUITOS ,90,Und,170,,0,0,90,0,0,0,,
47.15,BREAKER ,ELE,18,48,2,ELE0434007,TAPA PARA TABLERO 20 CIRCUITOS ,20,Und,70,,33,0,-13,0,103.2,2992.8,,
48,,,,,,ELECTRICIDAD CABLES,,,,*,,,,LINEA,0,0,0,,
48.1,CAJA DE MEDIDOR ELECTRICA ,ELE,4,34,6,ELE1732001,CABLE ELECTRICO MCM 500  VERDE IMPORTADO,0,Mts,21,,0,0,0,0,112,560,,
48.2,CAJA DE MEDIDOR ELECTRICA ,ELE,4,34,7,ELE1732002,CABLE ELECTRICO THW #2  NEGRO IMPORTADO ,28,Mts,4.75,,0,0,0,0,232,2088,,
48.3,CAJA DE PASO ELECTRICA ,ELE,9,33,1,ELE1732003,CABLE ELECTRICO THW #2 AMARILLO IMPORTADO ,613,Mts,4.75,,0,0,0,0,192,2304,,
48.4,CAJETIN RECTANGULAR PVC,ELE,9,33,2,ELE1732004,CABLE ELECTRICO THW #2 VERDE IMPORTADO ,120,Mts,4.75,,2,0,0,0,288,0,,
48.5,CAJETIN RECTANGULAR PVC,ELE,9,33,3,ELE1732005,CABLE ELECTRICO TTU 250 NEGRO NACIONAL,,Mts,24,,0,0,0,0,0,0,,
48.6,CABLE THW ,ELE,17,38,2,ELE1738001,ROLLO DE CABLE ELECTRICO THW #4  ROJO NACIONAL ,1,Rollo,4.5,,0,0,0,0,152,152,,
48.7,CABLE THW ,ELE,17,38,3,ELE1738002,ROLLO DE CABLE ELECTRICO THW #4 BLANCO IMPORTADO,12,Rollo,3.6,,194,0,0,0,216,31752,,
48.8,CABLE THW ,ELE,17,38,4,ELE1738003,ROLLO DE CABLE ELECTRICO THW #6 AZUL IMPORTADO 100m,1,Rollo,2.5,,56,0,0,0,224,-5376,,
48.9,CABLE THW ,ELE,17,38,5,ELE1738004,ROLLO DE CABLE ELECTRICO THWN #4  BLANCO NACIONAL PHELPSDODGE,1,Rollo,5.9,,2,0,0,0,232,7888,,
48.10,CABLE THW ,ELE,17,38,6,ELE1738005,ROLLO DE CABLE ELECTRICO THWN #4 AWG AMARILLO IMPORTADO ,0,Rollo,3.5,,0,0,0,0,0,0,,
48.11,BREAKER ,ELE,18,47,1,ELE1738006,ROLLO DE CABLE ELECTRICO THWN #4 AWG VERDE IMPORTADO ,1,Rollo,4.7,,15,15,0,0,4,0,,
49,,,,,,FERRETERIA,,,,*,,,,LINEA,0,6,120,,
49.1,TORNILLERIA PARA ESTRUCTURA  GALVANIZADA EN CALIENTE ,FER,1,37,4,FER0137004,"TOR A325 HEX GALV CALIENTE NC 5/8 X 2"" 200 Grs.",2500,Und,2.8,,83,52,2469,0,6.32,56.88,,
49.2,TORNILLERIA PARA ESTRUCTURA  GALVANIZADA EN CALIENTE ,FER,1,37,3,FER0137003,TOR A325 HEX GALV CALIENTE NC 5/8 X 2 1/2 300 Grs.,5000,Und,4.5,3.2,30,30,5000,0,7.2,0,,
49.3,TORNILLERIA PARA ESTRUCTURA  GALVANIZADA EN CALIENTE ,FER,1,37,1,FER0137001,"TOR A325 HEX GALV CALIENTE NC 1"" x 3 1/2 600 Grs.",5000,Und,6.2,4.06,112,103,4991,0,7.6000000000000005,0,,
49.4,TORNILLERIA PARA ESTRUCTURA  GALVANIZADA EN CALIENTE ,FER,1,37,2,FER0137002,"TOR A325 HEX GALV CALIENTE NC 1"" X 4"" 700 Grs.",17132,Und,7.9,4.7,25,0,17107,0,10.4,0,,
49.5,TORNILLO G5,FER,1,37,6,FER0137006,"TOR C. HEX 5/8 X 3""",400,Und,0.7,0.58,5,0,395,0,11.200000000000001,0,,
49.6,TORNILLO G5,FER,1,37,5,FER0137005,TOR C. HEX 1/2 X 2 1/2,1600,Und,0.45,0.31,0,0,1600,0,0,0,,
49.7,TORNILLERIA PARA ESTRUCTURA  GALVANIZADA EN CALIENTE ,FER,1,42,2,FER0142002,"CLAVO FERROSO 1"" ",80,Kg,7.3,,39,0,41,0,0,0,,
49.8,TORNILLERIA PARA ESTRUCTURA  GALVANIZADA EN CALIENTE ,FER,1,42,1,FER0142001,"CLAVO ACERO 2""",99,Kg,9.7,,139,0,-40,0,0,0,,
49.9,REJILLA DE ALUMINIO Y BRONCE,FER,16,52,1,FER1652001,"REJILLA A.N 2"" ALUMINIO ",2994,Und,3.5,2.9,0,0,2994,0,0,0,,
49.10,REJILLA DE ALUMINIO Y BRONCE,FER,8,52,1,FER0852001,"REJILLA A.N 4"" PVC",500,Und,2.5,1.9,0,0,500,0,0,0,,
49.11,REJILLA DE ALUMINIO Y BRONCE,FER,21,52,1,FER2152001,"REJILLA A.N 4"" BRONCE",300,Und,4.5,3.4,0,0,300,0,0,0,,
49.12,DISCOS ,FER,10,3,1,FER1003001,DISCO DE CORTE 4 1/2,7,Und,0.74,,0,0,250,,0,0,,
49.13,DISCOS ,FER,10,3,2,FER1003002,"DISCO DE CORTE 7"" X 1/16",6,Und,1.35,,0,0,75,0,0,0,,
49.14,DISCOS ,FER,10,3,3,FER1003003,DISCO DE ESMERILAR 4 1/2,24,Und,1.26,,0,0,24,0,0,0,,
49.15,DISCOS ,FER,10,3,4,FER1003004,"DISCO DE ESMERILAR 7"" X 1/16",23,Und,2.94,,0,0,23,0,0,0,,
49.16,DISCOS ,FER,10,3,5,FER1003005,"DISCO DE TRONZADORA 14""",27,Und,5.46,,0,0,27,0,0,0,,
49.17,ACCESORIOS ,FER,10,50,1,FER1050001,ARNES ANTI-CAIDAS,267,Und,18,,0,0,267,0,0,0,,
49.18,ELECTRODOS ,FER,10,51,3,FER1051003,ELECTRODO 6013 1/8 KEEP DRY,4234,Kg,3,,0,0,4234,0,0,0,,
49.19,ELECTRODOS ,FER,10,51,1,FER1051001,ELECTRODO 7018 1/8 GRICON,71,Kg,3.9,,0,0,71,0,0,0,,
49.20,ELECTRODOS ,FER,10,51,2,FER1051002,ELECTRODO 532 7 1/8 GRICON,229,Kg,3.5,,0,0,229,0,0,0,,
49.21,PEGA PVC ,FER,20,52,1,FER2052001,PEGA PROF. PARA PVC  DE ALTA PRESION ERA G-GOOD 946 ML A.C,34,Und,25,,0,0,34,0,0,0,,
49.22,PEGA PVC ,FER,20,52,2,FER2052002,PEGA PROF. PARA PVC CEMENTO  SENCL SOLUTION 1000 ML A.F,0,Und,25,,0,0,0,0,0,0,,
49.23,"KIT DE CERRADURA DE EMBUTIR (CILINDRO , MANILLA)",FER,22,49,1,FER2249001,"KIT DE CERRADURA DE EMBUTIR (CILINDRO , MANILLA)",30,Und,,,0,0,30,0,0,0,,
49.24,KIT DE FREGADERO,FER,22,49,2,FER2249002,"KIT DE FREGADERO (1 FREGADERO DOBLE, 1 BAJANTE DOBLE, 2 DESAGUE, 2 LLAVE ARRESTO, 5 SARGENTO PEQ 1 GRIFERIA)",50,Kit,120,,0,0,50,0,0,0,,
,,,,,,,,,,,,0,0,0,0,0,0,,
,,,,,,5.45,,,,,,,,,,,,,
2026-03-30,,,,,,,,,,,,,,,,,,,
,NIKI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,02-zelle,,,,,,,
