ITEM,BASE,LIN,MAT,FORMA,CORRE,CODIGO,DESCRIPCION DE PRODUCTO,DISP,UND,PRECIO DETAL USD,PRECIO MAYOR USD,SALIDA,ENTRADA,STOCK,NUEVO PRECIO,COSTO,VALOR INVENTARIO,Unnamed: 18,Unnamed: 21
10.2,,,,,,LAM0114003,"LAMINA EST. 3,00 mm X 1000 X 2,40 m",,Lam,102.82,,9,50,41,0,82.256,3.6000000000000005,,
10.3,LAMINA ESTRIADA ,LAM,1,14,2,LAM0114002,"LAMINA EST. 5,00 mm X 1010 X 2,20 m ",5,Lam,136.74,,0,0,5,0,109.39200000000001,63.600000000000009,,
11,,,,,,LAMINAS GALVANIZADA,,,,*,,,,LINEA,0,0,0,,
11.1,LAMINA GALVANIZADA ,LAM,4,13,1,LAM0413001,"LAMINA GALV. LISA CAL. 26-0,40 mm X 1200 X 2,40 m",20,Lam,15.84,,45,148,123,0,12.672,3447.9199999999996,,
11.2,LAMINA GALVANIZADA ,LAM,4,13,1,LAM0413004,"LAMINA GALV. LISA CAL. 24-0,55 mm X 1200 X 2,40 m",,Lam,16.95,,0,0,0,0,13.56,26.68,,
11.3,,,,,,LAM0413008,"LAMINA GALV. LISA CAL.  22-0,60 mm X 1200 X 2,40 m",,Lam,18.95,17,9,9,0,18.928571428571431,15.16,12270.456,,
11.4,,,,,,LAM0413010,"LAMINA GALV. LISA CAL.  17-1,10 mm X 1200 X 2,40 m",,Lam,36.94,33.92,0,1,1,34.7,29.552,711.36,,
11.5,,,,,,LAM0413009,"LAMINA GALV. LISA CAL.  17-1,50 mm X 1200 X 2,40 m",,Lam,49.82,47.7,0,12,12,47.142857142857146,39.856,5328,,
11.6,,,,,,LAM0413011,"LAMINA GALV. LISA CAL.  17-1,90 mm X 1200 X 2,40 m",,Lam,62.16,59.36,0,4,4,57.142857142857146,49.728,1020.8000000000001,,
11.7,LAMINA GALVANIZADA ,LAM,4,13,2,LAM0413002,"LAMINA GALV. LISA CAL. 22-0,70 mm X 1205 X 2,40 m",0,Lam,23.95,,0,0,0,0,19.16,2716.896,,
11.8,,,,,,LAM0413005,"LAMINA GALV. LISA CAL. 20-0,95 mm X 1205 X 2,40 m",,Lam,,,0,0,0,0,0,0,,
11.9,,,,,,LAM0413006,"LAMINA GALV. LISA CAL. 18-1,31 mm X 1205 X 2,40 m",,Lam,,,0,0,0,0,0,517.4,,
11.10,,,,,,LAM0413007,"LAMINA GALV. LISA CAL. 16-1,61 mm X 1205 X 2,40 m",,Lam,,,0,0,0,0,0,1733.3200000000002,,
12,,,,,,LAMINAS DE TECHO,,,,*,,,,LINEA,0,0,403.2000000000001,,
12.1,LAMINAS TERMOPANEL,LAM,12,55,1,LAM1255001,"LAMINA TERMOPANEL SOLAR 3,70 X 1,04 mts ",7,Lam,90,,0,0,7,0,72,447.84000000000003,,
12.2,LAMINAS TERMOPANEL,LAM,12,55,2,LAM1255002,"LAMINA TERMOPANEL SOLAR 4,05 X 1,04 mts ",1,Lam,90,,0,0,1,0,72,0,,
12.3,LAMINAS TERMOPANEL,LAM,12,55,3,LAM1255003,"LAMINA TERMOPANEL SOLAR  4,20 X 1,04 mts ",29,Lam,198,,0,0,29,0,158.4,176.8,,
12.4,LAMINAS TERMOPANEL,LAM,12,55,4,LAM1255004,"LAMINA TERMOPANEL SOLAR 4,90 X 1,02 mts ",1,Lam,100,,0,0,1,0,80,17.400000000000002,,
12.5,LAMINAS TERMOPANEL,LAM,12,55,5,LAM1255005,"LAMINA TERMOPANEL SOLAR 5,90 X 1,04 mts ",1,Lam,150,,0,0,1,0,120,20.400000000000002,,
12.6,LAMINAS TERMOPANEL,LAM,12,55,6,LAM1255006,"LAMINA TERMOPANEL SOLAR 7,90 X 1,04 mts ",7,Lam,150,,0,0,7,0,120,0,,
12.7,,,,,,LAM1915006,"LOSACERO 6,10 X 0,80 mts CAL 20",,Lam,62,,207,375,168,59.036144578313255,49.6,44.8,,
12.8,LOSACERO ,LAM,19,15,1,LAM1915001,"LOSACERO 6,10 X 0,79 mts CAL 22",42,Lam,49.5,,270,228,0,52.739726027397261,39.6,1519.2000000000003,,
12.9,LOSACERO ,LAM,19,15,3,LAM1915003,"LOSACERO 6,10 X 0,60 mts CAL 24",52,Lam,43.2,,0,0,52,0,34.56,0,,
12.10,,,19,15,4,LAM1915004,"LOSACERO 6,10 X 0,65 mts CAL 24",64,Lam,44.95,,27,0,37,0,35.96,1978.0800000000002,,
12.11,LOSACERO ,LAM,19,15,2,LAM1915002,"LOSACERO 6,10 X 0,80 mts CAL 24",106,Lam,46.95,,22,0,84,0,37.56,-11.6,,
12.12,,,19,15,5,LAM1915005,"LOSACERO 6,10 X 0,75 mts CAL 26",20,Lam,40.8,,14,0,6,0,32.64,0,,
12.13,,LAM,4,13,3,LAM0413003,"LAMINA ZINC GALV.  0,17 X 0.80 X 3,66 m ",,Und,6.5,,1611.96,2092,480.03999999999996,1.6909090909090909,5.2,43.775999999999996,,
12.14,LAMINAS PREPINTADO (ZINC),LAM,19,16,1,LAM1916001,"LAM. PREPINTADO ROJO (ZINC) 0,15 X 800 X 3,00 MTS ",97,Lam,7.16,,95,0,2,0,5.7280000000000006,431.57599999999996,,
12.15,LAMINAS PREPINTADO (ZINC),LAM,19,16,2,LAM1916002,"LAM. PREPINTADO ROJO (ZINC) 0,15 X 800 X 3,60 MTS ",78,Lam,8.62,,78,0,0,0,6.896,0,,
12.16,LAMINAS PREPINTADO (ZINC),LAM,19,16,3,LAM1916003,"LAM. PREPINTADO ROJO (ZINC) 0,17 X 800 X 3,00 MTS ",0,Lam,7.94,,0,0,0,0,6.352,3260.1600000000003,,
12.17,LAMINAS PREPINTADO (ZINC),LAM,19,16,4,LAM1916004,"LAM. PREPINTADO ROJO (ZINC) 0,17 X 800 X 3,60 MTS ",0,Lam,9.55,,0,0,0,0,7.6400000000000006,3031.2000000000003,,
12.18,LAMINAS PR1 ROJO,LAM,19,16,5,LAM1916005,"LAMINA PR1 PREPINTADO ROJO 0,27 X 1050 X 3,00 mts",31,Lam,16.53,,0,0,31,0,13.224000000000002,125.64000000000001,,
12.19,LAMINAS PR1 ROJO,LAM,19,16,6,LAM1916006,"LAMINA PR1 PREPINTADO ROJO 0,27 X 1050 X 3,60 mts",15,Lam,19.92,,0,0,15,0,15.936000000000002,9.2399999999999984,,
